id,text,metadata.course_code,metadata.class_name,metadata.subject,metadata.subject_code,metadata.credits_raw,metadata.credits_min,metadata.credits_max,metadata.prereq_codes,metadata.coreq_codes,metadata.source_url,metadata.parent_id,metadata.chunk_index,metadata.chunk_count
actg-210-introduction-to-financial-accounting::541cc797730d::chunk-1,Course: ACTG 210 — Introduction to Financial Accounting Subject: Accounting (ACTG) Credits: 3 Description: Concepts and standards underlying the preparation and analysis of external reports; alternative effects and role of accounting in the business environment and capital markets. Course Information: Previously listed as ACTG 110. Extensive computer use required.,ACTG 210,Introduction to Financial Accounting,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-210-introduction-to-financial-accounting::541cc797730d,1,1
actg-211-introduction-to-managerial-accounting::608bd510773a::chunk-1,Course: ACTG 211 — Introduction to Managerial Accounting Subject: Accounting (ACTG) Credits: 3 Description: Management planning and control; cost concepts and measurement; cost accounting systems; analysis of cost and volume-profit relationships; standard costs and variances; and budget preparation. Prerequisites: ACTG 210. Accounting majors need a grade of C or better in ACTG 210. Course Information: Previously listed as ACTG 111. Extensive computer use required.,ACTG 211,Introduction to Managerial Accounting,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-211-introduction-to-managerial-accounting::608bd510773a,1,1
actg-315-intermediate-financial-accounting-i::ba6b66b1e70a::chunk-1,"Course: ACTG 315 — Intermediate Financial Accounting I Subject: Accounting (ACTG) Credits: 3 Description: Theory and standards related to asset valuation, revenue recognition, gain and loss recognition, and their impact on income measurement and financial position. Prerequisites: Average grade of B or higher in ACTG 210 and ACTG 211. Course Information: For satisfactory progress in the Accounting major, students must receive a C or better in ACTG 315 and may be repeated only once. Transfer credit may be accepted from an AACSB accredited institution on a case-by-case basis.",ACTG 315,Intermediate Financial Accounting I,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-315-intermediate-financial-accounting-i::ba6b66b1e70a,1,1
actg-316-intermediate-financial-accounting-ii::c5e71b3de187::chunk-1,"Course: ACTG 316 — Intermediate Financial Accounting II Subject: Accounting (ACTG) Credits: 3 Description: Selected topics in accounting and financial reporting including: cash flow statements, income taxes, long-term debt and leases, investments, derivative securities, and contingencies and employee retirement benefits and stockholders' equity. Prerequisites: Grade of C in ACTG 315.",ACTG 316,Intermediate Financial Accounting II,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-316-intermediate-financial-accounting-ii::c5e71b3de187,1,1
actg-326-cost-accounting::a4014f1ba178::chunk-1,Course: ACTG 326 — Cost Accounting Subject: Accounting (ACTG) Credits: 3 Description: Design of cost accounting systems; alternate costing methods; costing for decision making; budgeting and performance evaluation. Prerequisites: Grade of C or better in ACTG 210 and grade of C or better in ACTG 211. Course Information: Extensive computer use required.,ACTG 326,Cost Accounting,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-326-cost-accounting::a4014f1ba178,1,1
actg-355-business-law-i-commercial-transactions::f421922d6c21::chunk-1,"Course: ACTG 355 — Business Law I: Commercial Transactions Subject: Accounting (ACTG) Credits: 3 Description: Commercial transactions including: contracts, sales of goods, negotiable instruments, and secured transactions. Prerequisites: A passing grade in ACTG 211 or the equivalent.",ACTG 355,Business Law I: Commercial Transactions,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-355-business-law-i-commercial-transactions::f421922d6c21,1,1
actg-392-data-analytics-for-accountants::5618c8f6d8be::chunk-1,"Course: ACTG 392 — Data Analytics for Accountants Subject: Accounting (ACTG) Credits: 3 Description: Provides students with experience in accounting data analytics thinking, key terminology, and hands on experience with analytics tools and techniques. Prerequisites: Grade of C or better in ACTG 210 and Grade of C or better in ACTG 211 and IDS 270. Course Information: Extensive computer use required.",ACTG 392,Data Analytics for Accountants,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-392-data-analytics-for-accountants::5618c8f6d8be,1,1
actg-394-special-topics-in-accounting-undergraduate::8c1f31cb44f1::chunk-1,Course: ACTG 394 — Special Topics in Accounting - Undergraduate Subject: Accounting (ACTG) Credits: 3 Description: Investigates selected contemporary accounting topics using readings in both academic and professional journals as well as cases for analysis. Prerequisites: A passing grade in both ACTG 316 and ACTG 326.,ACTG 394,Special Topics in Accounting - Undergraduate,Accounting (ACTG),ACTG,3,3.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-394-special-topics-in-accounting-undergraduate::8c1f31cb44f1,1,1
actg-396-independent-study-in-accounting-undergraduate::f010efee6095::chunk-1,Course: ACTG 396 — Independent Study in Accounting - Undergraduate Subject: Accounting (ACTG) Credits: 1-3 Description: Independent study in approved topics; written report prepared under the guidance of a faculty member is required. Prerequisites: Grade of C or better in ACTG 316 ; and Grade of C or better in ACTG 326 ; and declaration of a major and submission of form of approval to the department head one week before the beginning of the semester.,ACTG 396,Independent Study in Accounting - Undergraduate,Accounting (ACTG),ACTG,1-3,1.0,3.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-396-independent-study-in-accounting-undergraduate::f010efee6095,1,1
actg-417-advanced-financial-accounting::f4d0ccae1923::chunk-1,"Course: ACTG 417 — Advanced Financial Accounting Subject: Accounting (ACTG) Credits: 3 or 4 Description: Financial accounting theory for business combinations, consolidated financial statements, international transactions and investments, and partnership accounting. Prerequisites: Grade of D or better in ACTG 316. Course Information: 3 undergraduate hours. 4 graduate hours.",ACTG 417,Advanced Financial Accounting,Accounting (ACTG),ACTG,3 or 4,3.0,4.0,[],[],https://catalog.uic.edu/ucat/course-descriptions/actg/,actg-417-advanced-financial-accounting::f4d0ccae1923,1,1
